,Class
3639,Non Abusive
3338,Abusive
12065,Non Abusive
24850,Non Abusive
11275,Non Abusive
9918,Non Abusive
7915,Non Abusive
4477,Non Abusive
708,Abusive
22617,Non Abusive
12331,Non Abusive
5279,Non Abusive
5873,Non Abusive
8592,Non Abusive
24699,Non Abusive
2846,Abusive
15776,Non Abusive
15759,Non Abusive
10115,Non Abusive
25641,Non Abusive
14574,Non Abusive
21548,Non Abusive
7614,Non Abusive
12992,Non Abusive
11661,Non Abusive
12697,Non Abusive
25418,Non Abusive
16113,Non Abusive
20538,Non Abusive
7474,Non Abusive
3930,Non Abusive
14589,Non Abusive
24132,Non Abusive
1359,Abusive
18371,Non Abusive
25888,Non Abusive
7483,Non Abusive
7204,Non Abusive
17878,Non Abusive
18104,Non Abusive
8453,Non Abusive
2565,Abusive
20396,Non Abusive
4667,Non Abusive
9252,Non Abusive
7118,Non Abusive
610,Abusive
20558,Non Abusive
16212,Non Abusive
22510,Non Abusive
23342,Non Abusive
11793,Non Abusive
20285,Non Abusive
14028,Non Abusive
12980,Non Abusive
8541,Non Abusive
13830,Non Abusive
8509,Non Abusive
14765,Non Abusive
23109,Non Abusive
13756,Non Abusive
4674,Non Abusive
13399,Non Abusive
22024,Non Abusive
3921,Non Abusive
6570,Non Abusive
2087,Abusive
24610,Non Abusive
21909,Non Abusive
22609,Non Abusive
7050,Non Abusive
17524,Non Abusive
23641,Non Abusive
14690,Non Abusive
8299,Non Abusive
11404,Non Abusive
19733,Non Abusive
17736,Non Abusive
8296,Non Abusive
12638,Non Abusive
15859,Non Abusive
17229,Non Abusive
6687,Non Abusive
17668,Non Abusive
17564,Non Abusive
2200,Abusive
25188,Non Abusive
13385,Non Abusive
13427,Non Abusive
15547,Non Abusive
18812,Non Abusive
18960,Non Abusive
25358,Non Abusive
12489,Non Abusive
18811,Non Abusive
3284,Abusive
5223,Non Abusive
5941,Non Abusive
15749,Non Abusive
11396,Non Abusive
24624,Non Abusive
4135,Non Abusive
19394,Non Abusive
1952,Abusive
3048,Abusive
22296,Non Abusive
2703,Abusive
15717,Non Abusive
3586,Non Abusive
16414,Non Abusive
1919,Abusive
1243,Abusive
8681,Non Abusive
23296,Non Abusive
11094,Non Abusive
24102,Non Abusive
4250,Non Abusive
7165,Non Abusive
12908,Non Abusive
18092,Non Abusive
11653,Non Abusive
20699,Non Abusive
6511,Non Abusive
6190,Non Abusive
4399,Non Abusive
4396,Non Abusive
16778,Non Abusive
19661,Non Abusive
18401,Non Abusive
5452,Non Abusive
9562,Non Abusive
4790,Non Abusive
23619,Non Abusive
23182,Non Abusive
11859,Non Abusive
14514,Non Abusive
1940,Abusive
12346,Non Abusive
290,Abusive
6383,Non Abusive
26188,Non Abusive
6366,Non Abusive
23403,Non Abusive
3610,Non Abusive
1757,Abusive
530,Abusive
21307,Non Abusive
10053,Non Abusive
8236,Non Abusive
11472,Non Abusive
9827,Non Abusive
9347,Non Abusive
11413,Non Abusive
2031,Abusive
19872,Non Abusive
23293,Non Abusive
24615,Non Abusive
11931,Non Abusive
18694,Non Abusive
2966,Abusive
8517,Non Abusive
15883,Non Abusive
13433,Non Abusive
25362,Non Abusive
7977,Non Abusive
16435,Non Abusive
5658,Non Abusive
1105,Abusive
25541,Non Abusive
553,Abusive
9610,Non Abusive
24252,Non Abusive
14643,Non Abusive
5099,Non Abusive
2244,Abusive
25665,Non Abusive
21110,Non Abusive
20205,Non Abusive
14248,Non Abusive
2249,Abusive
4439,Non Abusive
954,Abusive
17133,Non Abusive
876,Abusive
25049,Non Abusive
1281,Abusive
19210,Non Abusive
7332,Non Abusive
8578,Non Abusive
25550,Non Abusive
11204,Non Abusive
657,Abusive
2351,Abusive
11548,Non Abusive
10007,Non Abusive
26068,Non Abusive
24724,Non Abusive
21342,Non Abusive
1135,Abusive
25235,Non Abusive
8571,Non Abusive
16934,Non Abusive
12018,Non Abusive
2176,Abusive
12870,Non Abusive
13948,Non Abusive
4084,Non Abusive
8162,Non Abusive
3652,Non Abusive
8351,Non Abusive
23375,Non Abusive
333,Abusive
6608,Non Abusive
19404,Non Abusive
7378,Non Abusive
11182,Non Abusive
20923,Non Abusive
8146,Non Abusive
14062,Non Abusive
4374,Non Abusive
3824,Non Abusive
22645,Non Abusive
11172,Non Abusive
3717,Non Abusive
24870,Non Abusive
20067,Non Abusive
19561,Non Abusive
1811,Abusive
16897,Non Abusive
2368,Abusive
10998,Non Abusive
6028,Non Abusive
10639,Non Abusive
4280,Non Abusive
12275,Non Abusive
13771,Non Abusive
12327,Non Abusive
5501,Non Abusive
17473,Non Abusive
15774,Non Abusive
8960,Non Abusive
25119,Non Abusive
5788,Non Abusive
10346,Non Abusive
8910,Non Abusive
21406,Non Abusive
11435,Non Abusive
21932,Non Abusive
25803,Non Abusive
4476,Non Abusive
11753,Non Abusive
12181,Non Abusive
9214,Non Abusive
12186,Non Abusive
11759,Non Abusive
14747,Non Abusive
3813,Non Abusive
12044,Non Abusive
21808,Non Abusive
17227,Non Abusive
21767,Non Abusive
164,Abusive
8402,Non Abusive
12694,Non Abusive
8570,Non Abusive
13906,Non Abusive
23022,Non Abusive
7140,Non Abusive
8598,Non Abusive
18018,Non Abusive
4480,Non Abusive
10080,Non Abusive
5548,Non Abusive
10192,Non Abusive
5934,Non Abusive
20094,Non Abusive
2918,Abusive
7132,Non Abusive
13965,Non Abusive
2702,Abusive
7397,Non Abusive
22780,Non Abusive
7150,Non Abusive
17362,Non Abusive
2601,Abusive
23760,Non Abusive
19155,Non Abusive
7131,Non Abusive
5067,Non Abusive
25842,Non Abusive
7375,Non Abusive
8027,Non Abusive
22853,Non Abusive
9284,Non Abusive
20499,Non Abusive
15098,Non Abusive
21907,Non Abusive
15788,Non Abusive
18518,Non Abusive
13552,Non Abusive
15298,Non Abusive
3897,Non Abusive
16024,Non Abusive
22786,Non Abusive
8285,Non Abusive
20640,Non Abusive
15721,Non Abusive
9288,Non Abusive
12611,Non Abusive
18515,Non Abusive
13917,Non Abusive
17241,Non Abusive
1336,Abusive
7059,Non Abusive
24198,Non Abusive
14080,Non Abusive
23158,Non Abusive
21570,Non Abusive
22501,Non Abusive
16357,Non Abusive
1383,Abusive
5756,Non Abusive
21690,Non Abusive
10313,Non Abusive
19036,Non Abusive
1644,Abusive
14741,Non Abusive
1917,Abusive
4657,Non Abusive
21741,Non Abusive
23206,Non Abusive
7459,Non Abusive
19193,Non Abusive
13561,Non Abusive
3671,Non Abusive
1889,Abusive
23452,Non Abusive
9182,Non Abusive
11460,Non Abusive
15070,Non Abusive
11162,Non Abusive
9125,Non Abusive
11765,Non Abusive
6139,Non Abusive
22779,Non Abusive
2892,Abusive
3650,Non Abusive
7373,Non Abusive
4179,Non Abusive
4464,Non Abusive
7358,Non Abusive
21489,Non Abusive
751,Abusive
15670,Non Abusive
8307,Non Abusive
974,Abusive
16659,Non Abusive
14147,Non Abusive
4233,Non Abusive
1791,Abusive
22834,Non Abusive
13935,Non Abusive
20979,Non Abusive
12102,Non Abusive
25753,Non Abusive
20168,Non Abusive
14677,Non Abusive
4942,Non Abusive
22357,Non Abusive
441,Abusive
16846,Non Abusive
22965,Non Abusive
24066,Non Abusive
7955,Non Abusive
19541,Non Abusive
25415,Non Abusive
4299,Non Abusive
7572,Non Abusive
6173,Non Abusive
10653,Non Abusive
4251,Non Abusive
22701,Non Abusive
17798,Non Abusive
24229,Non Abusive
17935,Non Abusive
8949,Non Abusive
2828,Abusive
15069,Non Abusive
15884,Non Abusive
22618,Non Abusive
24853,Non Abusive
13916,Non Abusive
23750,Non Abusive
26033,Non Abusive
20952,Non Abusive
2322,Abusive
9990,Non Abusive
1048,Abusive
5242,Non Abusive
5472,Non Abusive
22552,Non Abusive
8251,Non Abusive
18126,Non Abusive
13069,Non Abusive
18297,Non Abusive
19292,Non Abusive
5431,Non Abusive
2734,Abusive
15328,Non Abusive
8606,Non Abusive
8026,Non Abusive
17551,Non Abusive
19274,Non Abusive
21545,Non Abusive
14869,Non Abusive
1830,Abusive
6842,Non Abusive
5416,Non Abusive
16166,Non Abusive
7157,Non Abusive
2990,Abusive
2573,Abusive
24240,Non Abusive
7489,Non Abusive
17688,Non Abusive
3352,Abusive
23389,Non Abusive
13738,Non Abusive
24978,Non Abusive
4771,Non Abusive
21708,Non Abusive
7419,Non Abusive
5805,Non Abusive
24379,Non Abusive
2856,Abusive
17669,Non Abusive
17984,Non Abusive
25104,Non Abusive
12185,Non Abusive
12413,Non Abusive
7316,Non Abusive
1303,Abusive
13318,Non Abusive
7436,Non Abusive
22958,Non Abusive
8023,Non Abusive
21080,Non Abusive
11736,Non Abusive
19790,Non Abusive
20572,Non Abusive
24506,Non Abusive
8941,Non Abusive
12739,Non Abusive
13394,Non Abusive
5601,Non Abusive
23866,Non Abusive
4462,Non Abusive
11610,Non Abusive
14934,Non Abusive
14678,Non Abusive
2580,Abusive
3657,Non Abusive
3319,Abusive
11583,Non Abusive
14001,Non Abusive
12216,Non Abusive
8190,Non Abusive
18252,Non Abusive
705,Abusive
3569,Non Abusive
21590,Non Abusive
2259,Abusive
24966,Non Abusive
4584,Non Abusive
23221,Non Abusive
1204,Abusive
21969,Non Abusive
8041,Non Abusive
16376,Non Abusive
17076,Non Abusive
6667,Non Abusive
18149,Non Abusive
14049,Non Abusive
12951,Non Abusive
2525,Abusive
20412,Non Abusive
1818,Abusive
12130,Non Abusive
4255,Non Abusive
15998,Non Abusive
14480,Non Abusive
12518,Non Abusive
17918,Non Abusive
22151,Non Abusive
19463,Non Abusive
21221,Non Abusive
21197,Non Abusive
1635,Abusive
25757,Non Abusive
2317,Abusive
6869,Non Abusive
16160,Non Abusive
22116,Non Abusive
13743,Non Abusive
18062,Non Abusive
23534,Non Abusive
15000,Non Abusive
13531,Non Abusive
5911,Non Abusive
2040,Abusive
12880,Non Abusive
25402,Non Abusive
3213,Abusive
15371,Non Abusive
24685,Non Abusive
14852,Non Abusive
16630,Non Abusive
6844,Non Abusive
780,Abusive
20797,Non Abusive
14292,Non Abusive
6786,Non Abusive
4162,Non Abusive
25764,Non Abusive
25929,Non Abusive
5576,Non Abusive
21276,Non Abusive
11652,Non Abusive
6711,Non Abusive
12110,Non Abusive
24874,Non Abusive
3585,Non Abusive
1819,Abusive
13724,Non Abusive
14816,Non Abusive
6215,Non Abusive
18889,Non Abusive
16122,Non Abusive
10704,Non Abusive
22129,Non Abusive
6905,Non Abusive
23519,Non Abusive
6624,Non Abusive
21944,Non Abusive
14214,Non Abusive
7340,Non Abusive
25403,Non Abusive
17915,Non Abusive
15122,Non Abusive
23243,Non Abusive
19524,Non Abusive
9228,Non Abusive
2472,Abusive
21128,Non Abusive
22516,Non Abusive
149,Abusive
9111,Non Abusive
17731,Non Abusive
8588,Non Abusive
14732,Non Abusive
10946,Non Abusive
15030,Non Abusive
24620,Non Abusive
15046,Non Abusive
18487,Non Abusive
10819,Non Abusive
18929,Non Abusive
19442,Non Abusive
10487,Non Abusive
1179,Abusive
24241,Non Abusive
14264,Non Abusive
539,Abusive
23286,Non Abusive
6298,Non Abusive
1167,Abusive
15341,Non Abusive
19024,Non Abusive
16328,Non Abusive
21816,Non Abusive
3330,Abusive
4847,Non Abusive
24462,Non Abusive
22799,Non Abusive
13673,Non Abusive
22960,Non Abusive
188,Abusive
3265,Abusive
7664,Non Abusive
24890,Non Abusive
18564,Non Abusive
15677,Non Abusive
6375,Non Abusive
11293,Non Abusive
12926,Non Abusive
7441,Non Abusive
11277,Non Abusive
8643,Non Abusive
8295,Non Abusive
24280,Non Abusive
4063,Non Abusive
23753,Non Abusive
14789,Non Abusive
3890,Non Abusive
11289,Non Abusive
2095,Abusive
15368,Non Abusive
2833,Abusive
9672,Non Abusive
24546,Non Abusive
25150,Non Abusive
24326,Non Abusive
14171,Non Abusive
10370,Non Abusive
12037,Non Abusive
25876,Non Abusive
23929,Non Abusive
15175,Non Abusive
12734,Non Abusive
18956,Non Abusive
15133,Non Abusive
10411,Non Abusive
11927,Non Abusive
22991,Non Abusive
2463,Abusive
18702,Non Abusive
2113,Abusive
19243,Non Abusive
23930,Non Abusive
13132,Non Abusive
6801,Non Abusive
3696,Non Abusive
5131,Non Abusive
11362,Non Abusive
11907,Non Abusive
12793,Non Abusive
16482,Non Abusive
14436,Non Abusive
19571,Non Abusive
17720,Non Abusive
5715,Non Abusive
12135,Non Abusive
22286,Non Abusive
17626,Non Abusive
3503,Non Abusive
20755,Non Abusive
11947,Non Abusive
11961,Non Abusive
21736,Non Abusive
7057,Non Abusive
7328,Non Abusive
11646,Non Abusive
14927,Non Abusive
25335,Non Abusive
9227,Non Abusive
17257,Non Abusive
17222,Non Abusive
21299,Non Abusive
3809,Non Abusive
23443,Non Abusive
17743,Non Abusive
7930,Non Abusive
1572,Abusive
15515,Non Abusive
12385,Non Abusive
20835,Non Abusive
10546,Non Abusive
22303,Non Abusive
15190,Non Abusive
19582,Non Abusive
9554,Non Abusive
22227,Non Abusive
9675,Non Abusive
6048,Non Abusive
23308,Non Abusive
3410,Non Abusive
26171,Non Abusive
5749,Non Abusive
21087,Non Abusive
20212,Non Abusive
16318,Non Abusive
7022,Non Abusive
3722,Non Abusive
23388,Non Abusive
9541,Non Abusive
15035,Non Abusive
21178,Non Abusive
10650,Non Abusive
19081,Non Abusive
20727,Non Abusive
14534,Non Abusive
20868,Non Abusive
16125,Non Abusive
22915,Non Abusive
17095,Non Abusive
8753,Non Abusive
11976,Non Abusive
21047,Non Abusive
13439,Non Abusive
1995,Abusive
5523,Non Abusive
18758,Non Abusive
11058,Non Abusive
11211,Non Abusive
7887,Non Abusive
15908,Non Abusive
2376,Abusive
3524,Non Abusive
3487,Non Abusive
3827,Non Abusive
10472,Non Abusive
2878,Abusive
4075,Non Abusive
7465,Non Abusive
13244,Non Abusive
25678,Non Abusive
3913,Non Abusive
12414,Non Abusive
9204,Non Abusive
17321,Non Abusive
9020,Non Abusive
19796,Non Abusive
9397,Non Abusive
5283,Non Abusive
18029,Non Abusive
2264,Abusive
6446,Non Abusive
16352,Non Abusive
16750,Non Abusive
24355,Non Abusive
4001,Non Abusive
1958,Abusive
19201,Non Abusive
11914,Non Abusive
17989,Non Abusive
20336,Non Abusive
22661,Non Abusive
5663,Non Abusive
2838,Abusive
3894,Non Abusive
9076,Non Abusive
16751,Non Abusive
16808,Non Abusive
25421,Non Abusive
14519,Non Abusive
26180,Non Abusive
17896,Non Abusive
267,Abusive
3112,Abusive
6526,Non Abusive
2500,Abusive
24146,Non Abusive
21470,Non Abusive
25504,Non Abusive
19894,Non Abusive
25450,Non Abusive
11850,Non Abusive
15445,Non Abusive
3480,Non Abusive
5849,Non Abusive
23198,Non Abusive
17435,Non Abusive
18153,Non Abusive
22719,Non Abusive
14629,Non Abusive
24807,Non Abusive
5152,Non Abusive
12224,Non Abusive
10542,Non Abusive
25810,Non Abusive
13079,Non Abusive
10220,Non Abusive
4218,Non Abusive
1599,Abusive
20463,Non Abusive
25898,Non Abusive
7153,Non Abusive
12000,Non Abusive
23448,Non Abusive
7235,Non Abusive
9081,Non Abusive
5833,Non Abusive
9511,Non Abusive
23943,Non Abusive
24232,Non Abusive
10349,Non Abusive
4069,Non Abusive
6585,Non Abusive
14245,Non Abusive
7302,Non Abusive
11709,Non Abusive
22320,Non Abusive
14029,Non Abusive
12304,Non Abusive
16741,Non Abusive
20694,Non Abusive
37,Abusive
20126,Non Abusive
10641,Non Abusive
16884,Non Abusive
24108,Non Abusive
8674,Non Abusive
21085,Non Abusive
5623,Non Abusive
7510,Non Abusive
9475,Non Abusive
26242,Non Abusive
6871,Non Abusive
19247,Non Abusive
15163,Non Abusive
10361,Non Abusive
1259,Abusive
17684,Non Abusive
8269,Non Abusive
24787,Non Abusive
25561,Non Abusive
22831,Non Abusive
8370,Non Abusive
12227,Non Abusive
23065,Non Abusive
14103,Non Abusive
24134,Non Abusive
14718,Non Abusive
15649,Non Abusive
7717,Non Abusive
5133,Non Abusive
6118,Non Abusive
18789,Non Abusive
22393,Non Abusive
25520,Non Abusive
4975,Non Abusive
23586,Non Abusive
19971,Non Abusive
11770,Non Abusive
2561,Abusive
24063,Non Abusive
16782,Non Abusive
16071,Non Abusive
174,Abusive
25910,Non Abusive
547,Abusive
15922,Non Abusive
2421,Abusive
16924,Non Abusive
209,Abusive
6164,Non Abusive
2641,Abusive
8652,Non Abusive
21876,Non Abusive
2749,Abusive
235,Abusive
2667,Abusive
2761,Abusive
25613,Non Abusive
2270,Abusive
12384,Non Abusive
1585,Abusive
18730,Non Abusive
5421,Non Abusive
12295,Non Abusive
6316,Non Abusive
6203,Non Abusive
6589,Non Abusive
2952,Abusive
11853,Non Abusive
21231,Non Abusive
12332,Non Abusive
23903,Non Abusive
6344,Non Abusive
16720,Non Abusive
4547,Non Abusive
10693,Non Abusive
5487,Non Abusive
3373,Abusive
14782,Non Abusive
4896,Non Abusive
16234,Non Abusive
9322,Non Abusive
11014,Non Abusive
26000,Non Abusive
19676,Non Abusive
11173,Non Abusive
13450,Non Abusive
15,Abusive
1902,Abusive
15083,Non Abusive
25306,Non Abusive
25344,Non Abusive
17049,Non Abusive
7836,Non Abusive
14950,Non Abusive
16317,Non Abusive
7429,Non Abusive
